Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
31-07-2023,25.0,33.2,28.4,77.0,,7.8,6.0,60.0,3.0,E 
01-08-2023,25.4,34.0,29.0,75.0,,8.8,7.0,50.0,4.0,NE
02-08-2023,26.6,32.8,29.7,76.0,0.0,9.0,4.0,100.0,2.0,E 
03-08-2023,27.2,34.0,30.0,76.0,,3.8,6.0,80.0,3.0,E 
04-08-2023,27.4,34.0,29.5,77.0,0.0,9.0,7.0,70.0,3.0,E 
05-08-2023,27.0,33.0,29.3,77.0,,5.9,6.0,60.0,2.0,C 
06-08-2023,26.6,32.4,28.9,76.0,0.0,9.0,5.0,260.0,1.0,C 
07-08-2023,26.8,32.8,29.3,77.0,0.0,8.5,5.0,40.0,2.0,SE
08-08-2023,26.8,32.9,29.0,81.0,0.0,8.9,7.0,90.0,3.0,E 
09-08-2023,26.6,32.9,29.0,75.0,0.0,8.6,7.0,70.0,4.0,E 
10-08-2023,26.6,32.8,28.5,78.0,0.0,9.0,6.0,140.0,2.0,NE
11-08-2023,26.8,32.8,28.8,83.0,0.0,8.6,4.0,30.0,2.0,E 
12-08-2023,26.0,32.8,28.5,74.0,0.0,6.5,8.0,30.0,2.0,C 
13-08-2023,25.8,31.8,27.9,77.0,,8.7,6.0,70.0,2.0,C 
14-08-2023,25.8,32.5,28.6,77.0,0.0,8.0,7.0,30.0,3.0,E 
15-08-2023,26.4,32.0,28.4,76.0,0.0,8.7,5.0,20.0,2.0,C 
16-08-2023,26.6,32.4,28.7,76.0,0.0,8.2,6.0,70.0,2.0,C 
17-08-2023,25.8,32.7,28.2,72.0,0.0,7.6,6.0,40.0,2.0,C 
18-08-2023,26.0,32.1,28.7,76.0,0.0,8.5,5.0,20.0,2.0,C 
19-08-2023,26.3,32.6,28.6,76.0,0.0,8.3,6.0,120.0,3.0,E 
20-08-2023,26.5,34.2,29.3,74.0,,8.6,5.0,30.0,3.0,E 
21-08-2023,26.8,33.2,29.3,72.0,0.0,8.1,7.0,70.0,3.0,E 
22-08-2023,26.4,32.8,29.0,72.0,0.0,7.6,6.0,50.0,2.0,E 
23-08-2023,26.6,31.8,28.8,71.0,0.0,8.1,6.0,30.0,3.0,NE
24-08-2023,26.7,33.0,29.2,74.0,0.0,9.0,9.0,50.0,3.0,E 
25-08-2023,26.8,32.4,28.9,76.0,0.0,8.9,6.0,10.0,2.0,NE
26-08-2023,27.0,32.4,28.9,79.0,,8.6,6.0,10.0,2.0,N 
27-08-2023,27.6,32.0,29.3,79.0,0.0,8.1,6.0,10.0,2.0,C 
28-08-2023,27.0,32.3,28.9,74.0,0.0,5.5,5.0,20.0,2.0,NE
29-08-2023,26.6,32.7,28.9,74.0,0.0,5.9,5.0,60.0,3.0,NE
30-08-2023,26.5,32.2,28.6,76.0,0.0,8.8,7.0,40.0,3.0,C 
31-08-2023,25.8,32.4,28.5,77.0,0.0,9.0,5.0,10.0,1.0,C 
